Rank,Team,Points
1,France,1877.32
2,Spain,1876.4
3,Argentina,1874.81
4,England,1825.97
5,Portugal,1763.83
6,Brazil,1761.16
7,Netherlands,1757.87
8,Morocco,1755.87
9,Belgium,1734.71
10,Germany,1730.37
11,Croatia,1717.07
12,Italy,1700.37
13,Colombia,1693.09
14,Senegal,1688.99
15,Mexico,1681.03
16,USA,1673.13
17,Uruguay,1673.07
18,Japan,1660.43
19,Switzerland,1649.4
20,Denmark,1620.81
21,IR Iran,1615.3
22,T僡kiye,1599.04
23,Ecuador,1594.78
24,Austria,1593.45
25,South Korea,1588.66
26,Nigeria,1585.09
27,Australia,1580.67
28,Algeria,1564.26
29,Egypt,1563.24
30,Canada,1556.48
31,Norway,1550.94
32,Ukraine,1546.88
33,Panama,1540.64
34,Ivory Coast,1532.98
35,Poland,1528
36,Russia,1525.6
37,Wales,1524.29
38,Sweden,1514.77
39,Serbia,1506.34
40,Paraguay,1503.5
41,Czechia,1501.38
42,Hungary,1500.58
43,Scotland,1498.35
44,Tunisia,1483.05
45,Cameroon,1482.39
46,DR Congo,1478.35
47,Greece,1475.82
48,Slovakia,1473.94
49,Venezuela,1468.05
50,Uzbekistan,1465.34
,,
51,Costa Rica,1459
52,Mali,1459
53,Peru,1455
54,Chile,1455
55,Qatar,1454
56,Romania,1451
57,Iraq,1447
58,Slovenia,1446
59,Ireland,1436
60,South Africa,1429
61,Saudi Arabia,1421
62,Burkina Faso,1412
63,Jordan,1391
64,Albania,1388
65,Bosnia and Herzegovina,1385
66,Honduras,1380
67,North Macedonia,1372
68,United Arab Emirates,1370
69,Cape Verde,1366
70,Northern Ireland,1362
71,Jamaica,1357
72,Georgia,1350
73,Finland,1346
74,Ghana,1346
75,Iceland,1345
76,Bolivia,1329
77,Palestine,1375.4
78,Kosovo,1318
79,Oman,1313
80,China,1300
81,Montenegro,1295
82,Cura蓷o,1294
83,Haiti,1291
84,Syria,1288
85,New Zealand,1281
86,Guam,1351.49
87,Belarus,1349.05
88,Armenia,1346.73
89,Benin,1344.2
90,San Marino,1341.66
91,Trinidad and Tobago,1338.75
92,Kyrgyzstan,1335.14
93,Vietnam,1332.59
94,Thailand,1330.18
95,Tajikistan,1327.41
96,Libya,1324.72
97,Kenya,1322.33
98,India,1319.88
99,Madagascar,1316.77
100,Azerbaijan,1314.66
Rank,Team,Points
101,Estonia,1312.15
102,Mauritania,1309.64
103,Cyprus,1306.92
104,Mozambique,1304.58
105,Niger,1302.1
106,Namibia,1299.37
107,North Korea,1296.84
108,Sierra Leone,1294.55
109,Zimbabwe,1292.16
110,Angola,1289.41
111,Sudan,1286.73
112,Togo,1284.32
113,Tanzania,1281.95
114,Malawi,1279.46
115,Central African Republic,1276.7
116,Gambia,1274.21
117,Rwanda,1271.48
118,Ethiopia,1269.07
119,Guinea-Bissau,1266.6
120,Botswana,1264.14
121,Burundi,1261.55
122,Lesotho,1259.22
123,Eswatini,1256.6
124,Liberia,1253.94
125,Chad,1251.5
126,Somalia,1249.12
127,Djibouti,1246.88
128,South Sudan,1244.44
129,Sao Tome,1242.07
130,Seychelles,1239.63
131,Afghanistan,1237.01
132,Bangladesh,1234.52
133,Nepal,1232.2
134,Pakistan,1229.85
135,Sri Lanka,1227.41
136,Maldives,1224.92
137,Bhutan,1222.5
138,Mongolia,1220.12
139,Macau,1217.69
140,Guam,1215.33
141,Laos,1212.91
142,Cambodia,1210.44
143,Timor-Leste,1207.85
144,Brunei,1205.32
145,Papua New Guinea,1202.77
146,Fiji,1200.15
147,Solomon Islands,1197.74
148,Tahiti,1195.29
149,New Caledonia,1192.88
150,Vanuatu,1190.4
,,
151,Samoa,1187.95
152,American Samoa,1185.43
153,Tonga,1183.01
154,Cook Islands,1180.62
155,Kiribati,1178.14
156,Tuvalu,1175.73
157,Nauru,1173.21
158,Marshall Islands,1170.84
159,Micronesia,1168.4
160,Palau,1165.92
161,Aruba,1163.57
162,Cura蓷o,1161.18
163,Bonaire,1158.71
164,Cayman Islands,1156.34
165,Turks and Caicos,1153.9
166,British Virgin Islands,1151.46
167,US Virgin Islands,1149.03
168,Anguilla,1146.55
169,Montserrat,1144.12
170,Saint Martin,1141.7
171,Saint Lucia,1139.28
172,Dominica,1136.85
173,Grenada,1134.44
174,Antigua and Barbuda,1132.03
175,Saint Kitts and Nevis,1129.61
176,Barbados,1127.2
177,Bermuda,1124.74
178,Belize,1122.33
179,Nicaragua,1119.9
180,Guatemala,1117.51
181,Dominican Republic,1115.08
182,Puerto Rico,1112.62
183,Cuba,1110.21
184,Guyana,1107.79
185,Suriname,1105.36
186,French Guiana,1102.93
187,Martinique,1100.51
188,Guadeloupe,1098.1
189,Bahamas,1095.66
190,Andorra,1093.23
191,Liechtenstein,1090.79
192,Gibraltar,1088.34
193,Malta,1085.9
194,Faroe Islands,1083.46
195,Latvia,1081.02
196,Lithuania,1078.59
197,Moldova,1076.13
198,Kazakhstan,1073.7
199,Turkmenistan,1071.28
200,Yemen,1068.85
201,Myanmar,1066.41
202,Indonesia,1063.97
203,Malaysia,1061.54
204,Singapore,1059.1
205,Hong Kong,1056.66
206,Chinese Taipei,1054.23
207,Philippines,1051.8
